id	question	choices	zeroshot_raw_output	fewshot_raw_output	gold_truth	zeroshot_text_answer	zeroshot_prob_answer	fewshot_text	fewshot_prob	statements
43ab0ff711e60d51f943bbd2cdd6515a	A loud machine is irritating, but many are expected where?	"museum
house
laboratory
library
industrial area"	 E	 E	E	E	A	 E	E	"Laboratories are often equipped with specialized tools like microscopes and test tubes.
Industrial areas are often noisy due to the machines and equipment in use.
Industrial areas often have large, open spaces to accommodate machinery, storage, and production lines."
668dc6bce771b10cbf6336f3ec76520a	Why do people play chess on the weekends?	"satisfaction
have fun
thrilling
made
smart"	 B	 B	B	B	E	 B	E	"Having fun is often associated with doing something enjoyable or exciting.
People have fun by spending time with friends, family, or doing activities they love.
Laughing, playing games, or going on adventures are common ways to have fun.
Winning a close, competitive game can be a thrilling moment, filled with joy and relief."
57b83653d82b27d32bc39228130f3516	The poor girls needed a light to see, what was the relationship between that light and finishing her homework?	"darkness
cumbersome
obesity
forceful
crucial"	 E	 E	E	E	C	 E	E	A crucial decision can often determine the outcome of a situation.
a5097b7f56d20217679f28201801476f	Where do you head to travel to a star?	"night sky
galaxy
outer space
hollywood
eat cake"	 C	 C	C	C	A	 C	E	"You can see stars in the night sky, but not all of them are visible depending on the time of year and location.
Clouds or storms can obstruct the view of the night sky, making it harder to see stars or the moon.
A galaxy is a massive collection of stars, gas, dust, and dark matter bound together by gravity.
The largest galaxies can contain trillions of stars.
Outer space is mostly empty, but it contains stars, planets, moons, asteroids, comets, and galaxies.
Stars in outer space are incredibly far apart, which is why the night sky looks like a vast expanse of blackness."
0a4a00ba435397c4a0496dd2c2426be7	What is the opposite of a little of something?	"much
plenty
more
big
lot of"	 B	 B	E	B	A	 B	E	When you have plenty of something, you have more than enough to meet your needs or desires.
8bdbb8caefcc607a9ec7579aa0c87cba	Jane works for the government as a senator, where does she spend a lot of time?	"capitol building
everything
washington d.c
russia
canada"	 C	 A	A	C	D	 A	C	"The Capitol Building is where the U.S. Congress meets to make laws.
The Capitol Building is guarded by security to ensure the safety of lawmakers and the public.
The U.S. Capitol, where Congress meets, is also in Washington D.C."
1017807310a25d3ea4a4ec305e91cba3	She wanted to get in shape, but she couldn't stay focused on the hour long what?	"sweating
excercise
work out
video
swim"	 C	 D	C	C	A	 D	E	"Regular exercise helps improve overall health and fitness.
If you want to get stronger, you need to work out regularly.
Swimming is a great form of exercise because it works out the whole body."
ba640b9634ad6b4ad98b17b4f152e562	Bob the lizard lives in a warm place with lots of water.  Where does he probably live?	"rock
tropical rainforest
jazz club
new mexico
rocky places"	 B	 B	B	B	A	 B	E	"Tropical rainforests are found near the equator, where the climate is warm and humid.
The rainforest's constant warmth and moisture create a perfect environment for the growth of mosses, fungi, and epiphytes (plants that grow on other plants)."
07a99d5f2ca7028febeb9f09604b36c8	Name a location where you would not want to find mice.	"loft
attic
bell cat
countryside
laboratory"	 E	 E	B	E	A	 E	E	"Some people convert attics into additional rooms, such as bedrooms or offices, if they are spacious enough.
A clean and organized laboratory is important for preventing contamination and ensuring that experiments are conducted properly."
3338109fcafaaa370c8900a53e1b3ed8	The flasks was used to distill elements, where was is being used?	"laboratory
chemistry lab
coat pocket
after hours speakeasy
bordello"	 B	 A	B	B	C	 A	E	"Laboratories often contain specialized equipment and instruments for experiments, such as microscopes, test tubes, and beakers.
Lab equipment such as beakers, test tubes, and pipettes are essential for mixing, measuring, and observing substances in chemical experiments."
dbcedaa6a6f1f68bc8f2bf7aef23294e	What do people feel after having sex that requires them to shower?	"bedroom
pleasant
obesity
painful
dirty"	 E	 E	E	E	D	 E	E	"People often associate dirtiness with unpleasant smells, stains, or a lack of hygiene.
Something dirty may be considered unsanitary, which could potentially lead to health issues if not cleaned.
When someone or something is dirty, it often requires cleaning to restore it to a more acceptable or hygienic state.
People often clean up after themselves if they’ve made a mess, to avoid leaving things dirty and to maintain a pleasant environment."
e151b44e0a7bf08a1dd3c861eef09161	What may I place the telephone on?	"bar
friend's house
desktop
party
office"	 C	 C	C	C	E	 C	E	"The term ""bar"" can also refer to the counter or surface where drinks are served.
An office is a place where people work, often with desks, computers, and phones."
c640116ca6905d5256edadb616b3f76e	Noble citizen of the Roman empire believed those born with lower status were what to them?	"loser
ignoble
peasant
inferior
plebeian"	 D	 E	D	D	E	 E	E	"People may refer to others as ""losers"" when they believe that person is unsuccessful or lacks social status.
In a social setting, someone might be labeled a ""loser"" if they don't fit in, are socially awkward, or lack the traits valued by the group.
In many cultures, peasants were considered part of the lower social class, with limited access to education or resources.
If something is considered inferior, it is often viewed as lower in quality compared to something else.
In a hierarchy, an inferior position may be one with less authority or fewer responsibilities.
The term ""plebeian"" originally referred to the common people in ancient Rome, distinct from the aristocratic patricians."
163898952cb6baf3a6440696e1352e86	If for some reason you were to start killing people, what would you be likely to receive?	"feelings of guilt
prison sentence
terrible
encouragement
die"	 A	 B	B	A	B	 B	E	"Feelings of guilt arise when someone believes they have done something wrong or hurtful.
The feeling of guilt often involves a desire to make amends or apologize for what has been done.
A prison sentence is a punishment imposed by a court for someone who has been convicted of a crime.
A terrible experience can leave lasting negative emotions.
A terrible mistake often leads to regret and can be hard to fix.
People may fear dying, especially when faced with life-threatening situations."
caccaa51ee960a92d44e5b949fc35a66	They wanted to try blowfish, so they went to get some where?	"atlantic ocean
books
france
aquarium
fish market"	 E	 E	E	E	A	 E	E	"The ocean is home to various marine life, including whales, dolphins, sharks, and a wide range of fish species.
An aquarium is often used to display aquatic animals like fish and sea turtles.
A fish market is a place where fresh seafood, such as fish, shellfish, and other marine products, are sold.
In some fish markets, you can find live fish that are sold on the spot.
Fish are often displayed on ice in fish markets to keep them fresh.
Many fish markets have a variety of seafood, including exotic or hard-to-find species for those looking for something special."
4f23829b96b38b5633ecc3325281726d	John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?	"mountain
fancy
sandplain
cliff
gorge"	 C	 C	D	C	A	 C	E	"A cliff is a steep, vertical or nearly vertical rock face.
Cliffs are often found along coasts, mountains, or river valleys."
0547da29ffab9b441bae8870cd0f9dab	If you partied all night you could find yourself already what, even when just beginning work?	"getting tired
working
procrastination
jumping
sitting down"	 A	 A	A	A	E	 A	E	"Lack of sleep can make a person feel tired even if they haven’t been active.
Getting tired is a natural response when the body or mind needs rest or recovery."
c7cb327fa4c0008efaa7741081a365d4	What would you be building if you designed a place for an annoying critter to stay?	"spread disease
swamp
fly away
cat condo
bug campers"	 D	 E	E	D	C	 E	B	"A cat condo provides a comfortable place for cats to rest and play.
Bug campers may use nets to protect themselves from mosquitoes while they sleep."
1db19a32a3edbff9981976dc9ec800ce	If a small flying animal picks up a string, where are they taking it?	"bird's nest
park
guitar
kite
quark"	 D	 A	A	D	A	 A	C	"Birds use materials like twigs, grass, feathers, and mud to construct their nests.
Parks help support local wildlife, providing habitats for birds, insects, and small animals."
6c70d98cfb8e97fda8caefcee761a229	Zane doesn't like answering questions.  He's not good at it because he suffers from what?	"panic
discussion
attention
confusion
satisfaction"	 A	 A	D	A	C	 A	C	"Panic can make it hard to think clearly or make decisions.
Attention is limited, so it's hard to focus on multiple things at once for long periods.
When people are bored, their attention tends to wander, making it hard to stay engaged.
Confusion occurs when someone is unsure or unclear about something, often due to conflicting information or complex details.
People can feel confused when they don't understand instructions or when things are not explained properly."
5abeb4a2126597d4ef7b5a32e9e22abf	Where do most people make coffee?	"coffee shop
office
table
washing
kitchen"	 E	 E	E	E	A	 E	E	"It's common to have a coffee machine or snacks in the office for employees to take breaks.
The kitchen is typically where food is prepared and cooked in a home or restaurant."
5efadabaf61b5174916e3ab659bcd283	Danny found that the carpet did not ,match the drapes, which was disappointing, because this place was expensive.  But it was the only place in town that wasn't booked solid for the week and he needed it while he was in town, so he couldn't complain.   Where might this place be?	"brothel
restaurant
building
bowling alley
at hotel"	 E	 E	E	E	A	 E	E	"Buildings are often designed to meet specific needs, such as offices, homes, schools, or factories.
People stay at hotels when traveling for business, vacations, or special events.
Hotels can range from budget accommodations to luxurious resorts with high-end services."
d807e7ae60976324920c8d29eb42dad6	Where does a heifer's master live?	"farm house
barnyard
stockyard
slaughter house
eat cake"	 A	 A	A	A	B	 A	E	"A farmhouse is typically located on a farm, providing housing for farmers and their families.
People living in a farmhouse often work on the farm, tending to crops, animals, or machinery."
7b95825a19d6930d6aed35c7c57a2d82	James couldn't get comfortable.  There was too much dirt.  He needed to clean out what?	"ground
subway
bank
bed
street"	 D	 D	D	D	B	 D	E	"The ground can be covered with grass, dirt, sand, or pavement, depending on the environment.
A comfortable bed can greatly improve the quality of sleep, as it provides support and warmth.
Beddings like sheets and blankets need to be washed regularly to maintain cleanliness and hygiene."
801431167b8bff06b9870abe9721536b	He was very outgoing, for him making friends was no personal what?	"scary
having friends
good feeling
conflict
friendship"	 A	 A	D	A	C	 A	E	"People may feel scared when faced with situations that are unfamiliar, dangerous, or outside their control.
Scary things can vary from person to person; something that frightens one person may not be scary at all to another."
2c9f4a98ce774cd734b6e384d95051a7	They children loved having a back yard, and the parents loved that it was a safe what?	"suburb
neighborhood
back of house
roundabout
property"	 C	 B	B	C	A	 B	E	"People who live in suburbs often have more space, including larger homes and yards, compared to those in the city.
Suburbs are often seen as desirable places to raise children due to the safer, less hectic environment.
A strong sense of community can make a neighborhood feel safe and welcoming.
A neighborhood watch program can help increase safety by encouraging residents to look out for each other."
cfa980561efe82e7ae7080d4f081b463	What is someone operating a vehicle likely to be accused of after becoming inebriated?	"punish
arrest
automobile accidents
drunk driving
talking nonsense"	 D	 D	D	D	D	 D	E	"Drunk driving is a leading cause of automobile accidents, impairing judgment and reaction times.
Drunk driving is illegal in most places and can result in severe penalties, including fines, license suspension, or imprisonment.
A person who is caught drunk driving may face both criminal and civil charges, depending on the situation."
e9d4c747018ff81b8c0aefb5abc3c539	What do people need to do to change their lives?	"face problems
better themselves
pay bills
become disillusioned
eat chicken"	 B	 B	A	B	A	 B	E	"Facing problems can be challenging, but it often leads to personal growth and learning.
Bettering oneself can require overcoming personal challenges and learning from mistakes.
Sometimes, bettering oneself involves stepping outside of one’s comfort zone to embrace change."
23d97480fe45bace231503f8fc367a5b	What do professors primarily do?	"master physics
state facts
wear wrinkled tweed jackets
school students
teach courses"	 E	 E	E	E	E	 E	E	"Teachers play a crucial role in guiding students through their education and providing support.
Teachers prepare lesson plans before the course begins."
66bfb6e209c94e6be5b0d04b0c7e2064	Where could you find only a few office?	"skyscraper
new york
school building
city
work"	 C	 C	C	C	E	 C	E	School buildings typically have classrooms, hallways, and offices for teachers and staff.
7bc1198664b376f79d584725ad7f874b	What is likely to be found in a book that is not a foreword?	"last word
conclusion
ikea instructions
afterword
epilogue"	 D	 D	E	D	A	 D	E	"In written communication, the last word can leave a lasting impression on the reader.
An afterword is a section in a book that appears at the end, typically written by the author or another contributor.
An epilogue is often included at the end of a book, play, or movie."
f192cfacbaa2f7e0e879f673c8e076a7	Where are the most famous BBQ steakhouses in america?	"texas
building
kansas city
maine
falling down"	 A	 A	A	A	C	 A	C	"Texas is known for its barbecue, particularly beef brisket, and Tex-Mex cuisine.
Kansas City is known for its delicious barbecue, especially its signature style of sauce."
9024493a3edbaf555fda5b477e835bf5	Where is a grape likely to be being fed to someone else?	"field
bathroom
michigan
minnesota
painting"	 E	 A	E	E	A	 A	E	"Fields can be used for recreational purposes, like picnics, hiking, or playing with pets.
The purpose of a painting can vary, from expressing emotions to capturing scenes or telling stories."
bcd51af35d691f5c3b6b548096ab1559	Everybody seemed to be crying at the holy site, the tour guide explained that this was what?	"profane
halibut
damaged
common
halibut"	 A	 A	D	A	D	 A	E	"""Profane"" refers to something that is disrespectful or irreverent, often in relation to religion or sacred things.
Something common is widespread or frequently encountered in daily life."
